2015-11-21 21:02:30,192 : MainThread : INFO : running /Users/dmitryselivanov/projects/word_embeddings/run_word2vec.py /Users/dmitryselivanov/Downloads/datasets/title_tokens.txt.gz /Users/dmitryselivanov/Downloads/datasets/questions-words.txt ./enwiki_dim=600_vocab=30k
2015-11-21 21:02:30,192 : MainThread : INFO : output file template will be ./enwiki_dim=600_vocab=30k/PREFIX
2015-11-21 21:02:30,192 : MainThread : INFO : dictionary found, loading
2015-11-21 21:02:30,247 : MainThread : INFO : word2vec model not found, creating
2015-11-21 21:02:30,247 : MainThread : INFO : collecting all words and their counts
2015-11-21 21:06:12,831 : MainThread : INFO : PROGRESS: at sentence #490000, processed 325690043 words, keeping 29664 word types
2015-11-21 21:06:15,942 : MainThread : INFO : PROGRESS: at sentence #500000, processed 330247303 words, keeping 29664 word types
2015-11-21 21:06:19,015 : MainThread : INFO : PROGRESS: at sentence #510000, processed 334773531 words, keeping 29664 word types
2015-11-21 21:06:22,079 : MainThread : INFO : PROGRESS: at sentence #520000, processed 339252165 words, keeping 29664 word types
2015-11-21 21:06:25,123 : MainThread : INFO : PROGRESS: at sentence #530000, processed 343728104 words, keeping 29664 word types
2015-11-21 21:06:28,075 : MainThread : INFO : PROGRESS: at sentence #540000, processed 347995536 words, keeping 29664 word types
2015-11-21 21:06:30,977 : MainThread : INFO : PROGRESS: at sentence #550000, processed 352260881 words, keeping 29664 word types
2015-11-21 21:06:33,889 : MainThread : INFO : PROGRESS: at sentence #560000, processed 356487380 words, keeping 29664 word types
2015-11-21 21:06:36,867 : MainThread : INFO : PROGRESS: at sentence #570000, processed 360837883 words, keeping 29664 word types
2015-11-21 21:06:39,749 : MainThread : INFO : PROGRESS: at sentence #580000, processed 364989173 words, keeping 29664 word types
2015-11-21 21:06:42,514 : MainThread : INFO : PROGRESS: at sentence #590000, processed 369021669 words, keeping 29664 word types
2015-11-21 21:06:45,373 : MainThread : INFO : PROGRESS: at sentence #600000, processed 373191031 words, keeping 29664 word types
2015-11-21 21:06:48,138 : MainThread : INFO : PROGRESS: at sentence #610000, processed 377184547 words, keeping 29664 word types
2015-11-21 21:06:50,915 : MainThread : INFO : PROGRESS: at sentence #620000, processed 381202731 words, keeping 29664 word types
2015-11-21 21:06:53,561 : MainThread : INFO : PROGRESS: at sentence #630000, processed 385077305 words, keeping 29664 word types
2015-11-21 21:06:56,210 : MainThread : INFO : PROGRESS: at sentence #640000, processed 388887185 words, keeping 29664 word types
2015-11-21 21:06:58,936 : MainThread : INFO : PROGRESS: at sentence #650000, processed 392715798 words, keeping 29664 word types
2015-11-21 21:07:01,553 : MainThread : INFO : PROGRESS: at sentence #660000, processed 396478847 words, keeping 29664 word types
2015-11-21 21:07:04,112 : MainThread : INFO : PROGRESS: at sentence #670000, processed 400184251 words, keeping 29664 word types
2015-11-21 21:07:06,722 : MainThread : INFO : PROGRESS: at sentence #680000, processed 403917758 words, keeping 29664 word types
2015-11-21 21:07:09,211 : MainThread : INFO : PROGRESS: at sentence #690000, processed 407495791 words, keeping 29664 word types
